model,accuracy,precision,recall,f1,roc_auc,confusion_matrix
DeepLearning_Keras,0.9824561403508772,1.0,0.9523809523809524,0.975609756097561,0.9976851851851852,"[[72, 0], [2, 40]]"
DeepLearning_Keras,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9957010582010581,"[[72, 0], [2, 40]]"
LogisticRegression,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.996031746031746,"[[71, 1], [3, 39]]"
RandomForest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9930555555555556,"[[72, 0], [3, 39]]"
SVM,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9947089947089948,"[[71, 1], [3, 39]]"
GradientBoosting,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9963624338624338,"[[72, 0], [4, 38]]"
